### Module positions - created on 2/9/2016 2:22:03 PM ###
### Printed by Pcbnew version kicad 4.0.0-rc1-stable
## Unit = inches, Angle = deg.
## Side : top
# Ref    Val                  Package         PosX       PosY        Rot     Side
C1       1n               C_0402              1.0083     0.2043       0.0    top
C2       0u1              C_0402              1.0083     0.1591       0.0    top
C3       1n               C_0402              0.6496     0.3102     270.0    top
C4       0u1              C_0402              0.6047     0.3102     270.0    top
C5       1n               C_0402              1.1461     0.3043     270.0    top
C6       0u1              C_0402              1.1882     0.3043     270.0    top
C7       1n               C_0402              0.5587     0.3102     270.0    top
C8       0u1              C_0402              0.5098     0.3102     270.0    top
C9       10p              C_0402              1.2972     0.3815      45.0    top
C10      10p              C_0402              1.2551     0.6295      45.0    top
C11      47u              C1210P              1.0484     0.6276       0.0    top
C12      1n               C_0402              0.8807     0.6106       0.0    top
C13      1u               C_0402              0.8807     0.6480       0.0    top
C14      1n               C_0402              0.7213     0.5209      90.0    top
C15      10p              C_0402              0.6764     0.5209      90.0    top
C16      0u1              C_0402              0.8256    -0.0201       0.0    top
C17      0u1              C_0402              1.1335    -0.2547     180.0    top
C18      10u              C_0805              1.8252     1.4886      90.0    top
C19      100p             C_0603              0.9705     2.1051      90.0    top
C20      4.7u             C_0603              1.4823     1.0209     180.0    top
C21      10u              C_0805              1.7433     1.4886      90.0    top
C22      10u              C_0805              1.4331     0.8102     180.0    top
C23      100p             C_0603              0.4591     0.9382      90.0    top
C24      100p             C_0603              0.6441     0.9209      90.0    top
C25      100p             C_0603              0.8969     0.8272       0.0    top
C26      1n               C_0402              0.2823     1.5701     180.0    top
C27      1n               C_0402              0.6106     1.4673     180.0    top
C28      1u               C_0402              1.7937     1.2665     270.0    top
C29      1u               C_0402              1.7295     1.1114     180.0    top
C30      1n               C_0402              0.8882     1.3398     180.0    top
C31      0u1              C_0402              0.9295     1.8927     180.0    top
C32      0u1              C_0402              0.2827     1.6169     180.0    top
C33      0u1              C_0402              0.6106     1.5126     180.0    top
C34      24p              C_0603              0.6146     1.0055     180.0    top
C35      0u1              C_0402              0.7996     0.9476      90.0    top
C36      0u1              C_0402              1.5728     1.2862      90.0    top
C37      0u1              C_0402              0.8882     1.3850     180.0    top
C38      56p              C_0603              0.4295     1.2181     180.0    top
C39      0u1              C_0402              1.8327     0.5953     180.0    top
C40      2u2              C_0603              0.3461     1.9807      90.0    top
C41      1n               C_0402              0.4209     2.0098     180.0    top
C42      0u1              C_0402              1.8264     0.7760     270.0    top
C43      0u1              C_0402              1.4717     0.3327     180.0    top
C44      100p             C_0603              0.6740     1.1209     180.0    top
C45      15p              C_0402              0.4374     1.0323     180.0    top
C46      1u               C_0402              0.2827     1.6614     180.0    top
C47      0u1              C_0402              0.3872    -0.0203       0.0    top
C48      0u1              C_0402              0.6077    -0.0203       0.0    top
C49      43p              C_0603              0.9815     0.7976     270.0    top
C50      1u               C_0402              0.6106     1.5567     180.0    top
C51      1u               C_0402              0.9311     1.4244       0.0    top
C52      24p              C_0603              0.4449     1.6059       0.0    top
C53      7p               C_0402              0.5402     1.8055       0.0    top
C54      43p              C_0603              0.8024     1.5094      90.0    top
C55      0u1              C_0402              0.1638    -0.0203       0.0    top
C56      14p              C_0402              0.8457     1.6535      90.0    top
C57      180p             C_0805              0.9969     0.9287     180.0    top
C58      20p              C_0402              1.1055     1.5709     180.0    top
C59      8.2p             C_0402              0.5555     1.9071     180.0    top
C60      15p              C_0402              0.7346     1.6760     180.0    top
C61      24p              C_0603              1.0976     1.7563     180.0    top
C62      7p               C_0402              0.6146     2.0098     180.0    top
C63      14p              C_0402              0.7780     1.8020       0.0    top
C64      10p              C_0402              0.4374     1.7059     180.0    top
C65      15p              C_0402              0.9169     1.5248       0.0    top
C66      20p              C_0402              1.1839     1.8760     180.0    top
C67      100p             C_0603              0.7799     2.0587     180.0    top
C68      100p             C_0603              0.8177     1.9354     270.0    top
C69      68p              C_0603              1.0496     1.3370     180.0    top
C70      100p             C_0603              1.1193     1.9811       0.0    top
C71      100p             C_0603              0.5394     0.4500       0.0    top
C72      27p              C_0402              1.0571     1.4760     180.0    top
C73      100p             C_0603              0.5610     0.7404     180.0    top
C74      0u1              C_0402              0.4518     0.5455      90.0    top
C75      0u1              C_0402              0.4311     0.6921      90.0    top
C76      0u1              C_0402              0.3681     0.5907     180.0    top
C77      100p             C_0603              1.3661     1.7681      90.0    top
C78      10u              C_0805              1.4724     1.2701       0.0    top
C79      47u              C1210P              1.4547     1.1222     180.0    top
C80      10u              C_0805              1.1843     0.1217     180.0    top
C81      22u              C_0805              0.9921    -0.1646      90.0    top
C93      0u1              C_0402              1.6004     0.5583     180.0    top
C94      2u2              C_0603              1.3961     0.2854     270.0    top
C301     DNP              C_0603              0.6929     0.4500       0.0    top
D1       BAS40TW          SOT-363             0.8039    -0.2559       0.0    top
FD1      FIDUCIAL1X2.5    FIDUCIAL            2.0457    -0.2437       0.0    top
FD2      FIDUCIAL1X2.5    FIDUCIAL            0.0807     2.2898       0.0    top
J1       SMA_EDGE         SMA-EDGE-HandSol    0.9701     2.2535       0.0    top
L1       1ohm             C_0402              0.4374     1.2657     180.0    top
L2       NR5040T220M      NR5040              1.5020     1.4362     180.0    top
L3       220n             C_0603              0.5020     0.6705     180.0    top
L4       15n              C_0603              0.6736     1.0650       0.0    top
L5       3.6n             C_0402              0.7248     1.1740       0.0    top
L6       100n             C_0603              0.3346     1.5118       0.0    top
L7       100n             C_0603              0.6618     1.4209       0.0    top
L8       3.6n             C_0402              0.4157     1.5339     270.0    top
L9       24n              C_0402              1.0362     0.8488      90.0    top
L10      5.6n             C_0603              0.4591     1.1161      90.0    top
L11      6.2n             C_0603              0.7461     1.4508     270.0    top
L12      12n              C_0402              0.4374     1.6587     180.0    top
L13      5.6n             C_0603              1.0362     1.0240      90.0    top
L14      18n              C_0402              0.8736     1.4803     180.0    top
L15      100n             C_0603              0.9394     1.2862       0.0    top
L16      12n              C_0402              1.0579     1.2862     180.0    top
L17      33n              C_0603              1.0787     1.4094     270.0    top
L18      24n              C_0603              0.4886     1.7551     180.0    top
L19      47n              C_0603              0.8953     1.6028     270.0    top
L20      82n              C_0603              1.1016     1.5220     180.0    top
L21      33n              C_0603              0.5480     1.8567     180.0    top
L22      75n              C_0402              0.7787     1.6319       0.0    top
L23      120n             C_0805              1.1272     1.6622     270.0    top
L24      33n              C_0603              0.6067     1.9587     180.0    top
L25      75n              C_0402              0.7567     1.7390     270.0    top
L26      120n             C_0805              1.1665     1.8173     180.0    top
L27      24n              C_0603              0.6665     2.0591     180.0    top
L28      47n              C_0603              0.7878     1.8500     180.0    top
L29      82n              C_0603              1.2055     1.9516     270.0    top
L30      DNP              C_0603              1.3957     1.8827       0.0    top
L31      DNP              C_0603              1.3957     1.6827       0.0    top
L32      220n             C_0603              1.0531     2.0760     180.0    top
L33      220n             C_0603              0.7031     0.7110      90.0    top
L301     DNP              C_0603              0.6161     0.4205      90.0    top
Q1       NTGD1100L        SC-74               0.8039    -0.1173     180.0    top
Q2       NTGD1100L        SC-74               0.5860    -0.1177     180.0    top
Q3       NTGD1100L        SC-74               0.3656    -0.1177     180.0    top
Q4       NTGD1100L        SC-74               0.1421    -0.1177     180.0    top
Q5       BSS138           SOT-23_Handsolde    1.7402     1.7502     270.0    top
Q6       BSS138           SOT-23_Handsolde    1.7087     1.9923       0.0    top
Q7       BSS138           SOT-23_Handsolde    1.5719     2.0907       0.0    top
R1       10k              R_0402              1.6033     1.7305      90.0    top
R2       0                R_0402              1.0974     0.5110      90.0    top
R3       0                R_0402              0.7106     0.3319     180.0    top
R4       10k              R_0402              0.9043    -0.1429     270.0    top
R5       10k              R_0402              0.4728    -0.1610     180.0    top
R6       10k              R_0402              0.6925    -0.1610     180.0    top
R7       10k              R_0402              0.2494    -0.1610     180.0    top
R8       1.8              R_0402              0.3898     0.6528     270.0    top
R9       10k              R_0402              1.0417     2.1346       0.0    top
R10      52.3k            R_0402              1.7256     1.1602       0.0    top
R11      10k              R_0402              1.7256     1.2130     180.0    top
R12      dnp              R_0402              1.6913     0.5764     180.0    top
R13      0                R_0402              1.6228     0.6197     270.0    top
R14      10k              R_0402              1.7283     1.8594     180.0    top
R15      10k              R_0402              1.6093     1.9510     270.0    top
R16      10k              R_0402              1.7992     1.8132      90.0    top
R17      DNP              R_0402              1.0531     0.5110      90.0    top
R23      13.3             R_0402              1.7661     0.7976       0.0    top
R24      20k              R_0402              0.2772     2.0098     180.0    top
R27      100k             R_0402              1.8110     0.6547     270.0    top
R28      100k             R_0402              1.8673     0.6906      90.0    top
R31      2k               R_0402              1.4500     0.2740     270.0    top
R36      10k              R_0402              1.6644     2.1321     270.0    top
R37      10k              R_0402              1.7746     2.0691      90.0    top
S1       TAC_SWITCHSMD    SWITCH_TACTILE_S    0.3768     2.1949     180.0    top
U1       AU1846           QFN32-5x5           0.8701     0.4008     180.0    top
U2       MCP16311         DFN-8-1EP_3x2mm_    1.6862     1.2980     180.0    top
U3       AD8591           SOT23-6             1.7110     0.6882     180.0    top
U4       TRF37A75         DFN-8-1EP_2x2mm_    0.5413     0.5612      90.0    top
U6       AP2125N-3.3TRG1  SOT-23_Handsolde    1.4528     0.9146     270.0    top
U7       TQP7M9105        SOT89-3_Housing     0.3429     1.3827      90.0    top
U8       TQP7M9105        SOT89-3_Housing     0.6728     1.2992      90.0    top
U9       TQP7M9105        SOT89-3_Housing     0.9634     1.1720      90.0    top
U10      SKY13388         QFN-12-2mm-x-2mm    0.9705     1.9811       0.0    top
U11      SKY13388         QFN-12-2mm-x-2mm    0.7630     0.8331     180.0    top
U12      NC7WZ14          SC-70-6             1.1118    -0.1669     180.0    top
U13      NC7SZ08          sc70-5              0.3398    -0.2555       0.0    top
U14      NC7SZ08          sc70-5              0.5598    -0.2555       0.0    top
U15      NC7SZ08          sc70-5              0.1161    -0.2555       0.0    top
Y1       12.8MHz          CRYSTAL             1.2630     0.4878      45.0    top
## End
