### Module positions - created on 10/15/17 15:01:06 ###
### Printed by Pcbnew version kicad 4.0.6
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val              Package                          PosX       PosY       Rot  Side
C1        1n               C_0402                        25.6100     5.1900    0.0000  top
C2        0u1              C_0402                        25.6100     4.0400    0.0000  top
C3        1n               C_0402                        16.5000     7.8800  270.0000  top
C4        0u1              C_0402                        15.3600     7.8800  270.0000  top
C5        1n               C_0402                        29.6500     8.2800    0.0000  top
C6        0u1              C_0402                        29.6500     7.2800    0.0000  top
C7        1n               C_0402                        14.1900     7.8800  270.0000  top
C8        0u1              C_0402                        12.9500     7.8800  270.0000  top
C9        10p              C_0402                        32.5500     9.1800    0.0000  top
C10       10p              C_0402                        30.2500    16.3800    0.0000  top
C11       47u              C1210P                        25.2000    17.3300   90.0000  top
C12       1n               C_0402                        22.3700    15.5100    0.0000  top
C13       1u               C_0402                        22.3700    16.4600    0.0000  top
C14       1n               C_0402                        18.3200    13.2300   90.0000  top
C15       10p              C_0402                        17.1800    13.2300   90.0000  top
C16       0u1              C_0402                        28.7500    -4.7700  270.0000  top
C17       0u1              C_0402                        16.8500    -6.1700  180.0000  top
C18       10u              C_0805                        46.3600    37.8100   90.0000  top
C19       100p             C_0603                        11.6100    53.0300   90.0000  top
C20       4.7u             C_0603                        35.6500    27.9800  180.0000  top
C21       10u              C_0805                        44.2800    37.8100   90.0000  top
C22       10u              C_0805                        32.6500    25.3300  270.0000  top
C23       100p             C_0603                        15.3500    35.0300  180.0000  top
C24       100p             C_0603                        14.3500    36.4300  180.0000  top
C25       100p             C_0603                        16.3500    42.5300    0.0000  top
C26       7p               C_0402                        10.9500    17.1800  270.0000  top
C27       8p               C_0402                        14.6500    17.1800  270.0000  top
C28       1u               C_0402                        45.5600    32.1700  270.0000  top
C29       1u               C_0402                        43.9300    28.2300  180.0000  top
C30       1n               C_0402                        19.9500    31.5300   90.0000  top
C31       0u1              C_0402                        13.5000    46.7800    0.0000  top
C32       14p              C_0402                        16.2000    20.0800    0.0000  top
C33       24p              C_0603                        13.4000    22.5800  180.0000  top
C34       11p              C_0402                        25.4500    33.0800    0.0000  top
C35       0u1              C_0402                        13.8500    42.7800   90.0000  top
C36       0u1              C_0402                        39.9500    32.6700   90.0000  top
C37       0u1              C_0402                        21.0500    31.5300   90.0000  top
C38       7p               C_0402                        25.4500    36.1800    0.0000  top
C39       0u1              C_0402                        46.5500    15.1200  180.0000  top
C40       2u2              C_0603                        41.8500    21.7800    0.0000  top
C41       15n              C_0402                        43.1500    23.1800  180.0000  top
C42       2u2              C_0603                        46.3900    19.7100  270.0000  top
C43       0u1              C_0402                        37.3800     8.4500  180.0000  top
C44       47p              C_0402                        12.1000    24.9800  180.0000  top
C45       5.1p             C_0402                        23.9500    38.7600    0.0000  top
